"""",Afghanistan,"""",:,4,","
"""",Albania,"""",:,8,","
"""",Algeria,"""",:,12,","
"""",American Samoa,"""",:,16,","
"""",Andorra,"""",:,20,","
"""",Angola,"""",:,24,","
"""",Anguilla,"""",:,660,","
"""",Antigua and Barbuda,"""",:,28,","
"""",Argentina,"""",:,32,","
"""",Armenia,"""",:,51,","
"""",Aruba,"""",:,553,","
"""",Australia,"""",:,36,","
"""",Austria,"""",:,40,","
"""",Azerbaijan,"""",:,31,","
"""",Bahamas,"""",:,44,","
"""",Bangladesh,"""",:,50,","
"""",Barbados,"""",:,52,","
"""",Belarus,"""",:,112,","
"""",Belgium,"""",:,56,","
"""",Belize,"""",:,84,","
"""",Benin,"""",:,204,","
"""",Bermuda,"""",:,60,","
"""",Bhutan,"""",:,64,","
"""",Bolivia,"""",:,68,","
"""",Bosnia and Herzegovina,"""",:,70,","
"""",Botswana,"""",:,72,","
"""",Brazil,"""",:,76,","
"""",British Virgin Islands,"""",:,92,","
"""",Brunei,"""",:,96,","
"""",Bulgaria,"""",:,100,","
"""",Burkina Faso,"""",:,854,","
"""",Burundi,"""",:,108,","
"""",Cabo Verde,"""",:,132,","
"""",Cambodia,"""",:,116,","
"""",Cameroon,"""",:,120,","
"""",Canada,"""",:,124,","
"""",Cayman Islands,"""",:,136,","
"""",Central African Republic,"""",:,140,","
"""",Chad,"""",:,148,","
"""",Chile,"""",:,152,","
"""",China,"""",:,156,","
"""",Colombia,"""",:,170,","
"""",Comoros,"""",:,174,","
"""",Congo,"""",:,178,","
"""",Cook Islands,"""",:,184,","
"""",Costa Rica,"""",:,188,","
"""",Côte d'Ivoire,"""",:,384,","
"""",Croatia,"""",:,191,","
"""",Cuba,"""",:,192,","
"""",Curaçao,"""",:,530,","
"""",Cyprus,"""",:,196,","
"""",Czech Republic,"""",:,203,","
"""",Denmark,"""",:,208,","
"""",Djibouti,"""",:,262,","
"""",Dominica,"""",:,212,","
"""",Dominican Republic,"""",:,214,","
"""",DR Congo,"""",:,180,","
"""",Ecuador,"""",:,218,","
"""",Egypt,"""",:,818,","
"""",El Salvador,"""",:,222,","
"""",Equatorial Guinea,"""",:,226,","
"""",Eritrea,"""",:,232,","
"""",Estonia,"""",:,233,","
"""",Ethiopia,"""",:,231,","
"""",Faeroe Islands,"""",:,234,","
"""",Falkland Islands,"""",:,238,","
"""",Fiji,"""",:,242,","
"""",Finland,"""",:,246,","
"""",France,"""",:,250,","
"""",French Guiana,"""",:,254,","
"""",French Polynesia,"""",:,258,","
"""",Gabon,"""",:,266,","
"""",Gambia,"""",:,270,","
"""",Georgia,"""",:,268,","
"""",Germany,"""",:,276,","
"""",Ghana,"""",:,288,","
"""",Greece,"""",:,300,","
"""",Greenland,"""",:,304,","
